recipient,amount
9SjGU3tzdEXfLaVsLpnTwP3inBNhAPMq4XKupUf9Ms5E,41616552266911
BxkAkLR2W3agWtjMXBNvhxmB8vsn7zhjNQcyfost99KY,35480806184050
71M936kzQRe7eWrABba6yKqPsmTMVhijQqDNQP9qM9pP,16705099173951
FTWuJ2tqjecNizCSE66z4BD1tBHomG6DVffGUwRuWUkM,5473471410732
73ET66kH1rxnkTByem6r7CX37Wc1FGmmBtP5uWYzjAs9,36709543806295
2Ce1dmtdnvgDwD1MiZjP9wwGup6j8H7uXGuGMa9uZo5v,47862090524101
7yUBtfjFbxF669rf5p5fFFpNv6TbX9Z7UJkaUs2UxiPj,37513501974433
Bnqie7FYWudbSuBjyRHzoKQrz7eGFxmY9wFAMQKKQjEe,96957574306186
4LSfKc2sPZEvb94JeKvySeThmRR8ySBWwRuMz6Pvj4Zf,36247086966890
6raveA75oXyPeEckX6u8iCFi34EByvrKLPgLC2Hobgrn,36926746831726
DFLDCKBPX7a3DnPyXYJUjSEffNYbSmTgWs7N8BkjnZ5g,22062683191336
A3Y4SRHDLUotcZEEHPAwUsybwnFkWDRUSFwbFPAic8LR,3642572968735
G9qsqKnvR77FAmcLtcrkMrFvcDGoQ7LQB5xaXc7mD83u,6252361038643
3voduym7mcH5KwbMigbANpHu14ToWR7SyiDeGW3Sp7Xh,46432020561798
EMP4aNT41fhL4y5YpRR8CH5JiWwdew4FmdK6dH4i2FMe,33420370132088
4Ax8CmGz5BoS8DqSWjkAFsqTuzeckh5x21FwdVrXQbEQ,31271064628739
BJafMGt4t8A9BENBg9EcXEAqUSgBLaQZujQqvrsGMgtL,3838061487889
ASryt5BzW7qsYW22xT6V5Bum49J2mEzucLc9bYoWFZMp,37251148863541
5rzBJeyPbEbrUGRWY9pNDp1mpR472zF5TE1dF7ATUvNR,29607085176638
2ZS2DGFRDD7WWSzqkaPoqURVknoMdFVFWDdBRKNZuqct,38924583163145
5hyHG7SnmJAHZmM9shuq6BXxLSG2EeosMH3ZohtaewFM,70418258008312
FBRSAyDDY6nYRqPnD7teof9yAHvbdg9tmPyi26tYt4gA,2627413196486
DnZ6NbBTxZGTqoftsht4L7ZcAM1yMLXu4Tky6Qvp4MeR,3660138121889
AGGySGq5iQAS1gZNx4fy7zGt1PCjSuyaBZLiab8PyYCC,3028456874316
A7s4UzoRLGvkwh7sapXSbpMvypZZkv5vjiEBf4YFmTb2,6243424139078
9mo138RC4NbMYvWaVUE2cYPpY7KCCNGvgHhi4cVuCyM6,3752433292136
4n2or6zoFFSJnzihG8NEHsqHQ7W39SVDs5gYeijc8u5d,37668627933003
B5YQWFwLbEJzoXjujsaEYhGdpcpoAzz7cvqpXvr6rpSB,102188238458
